,Comunidad Autónoma o ciudad,Nombre de la Empresa,Resumen de la empresa,Especialidad de la Empresa,Sector de la empresa,Tamaño de la empresa,Fundación de la empresa,Página web de la empresa,Teléfono de la empresa,Perfil en linkedin
482,Barcelona,OLIVER,"OLIVER is a platform that through a smart GPS, sport science and a mobile app provides with key information to:

- Improve performance
- Evolve talents
- Prevent injuries","football, soccer, Connected Self, social, health, Deep Learning, AI, Machine Learning, Predictive Models, Big Data, Data Science, Sports Science, Startup y Innovation",Unknown,11-50 empleados,2018,http://www.tryoliver.com,Unknown,https://www.linkedin.com/company/this-is-oliver/
483,Barcelona,INVENSITY,"INVENSITY is an international technology and innovation consulting company with offices in Hamburg, Dusseldorf, Wiesbaden, Stuttgart, Munich, Detroit (USA), Manila (Philippines) and Barcelona (Spain). INVENSITY uses its Academy and Innovation Center to provide an ongoing outstanding level of service to renowned companies in the field of research and development. High-quality training and one-on-one mentoring build the knowledge, talent and skills of INVENSITY’s employees, enabling them to develop approaches to their work and competencies that can be applied across the range of projects undertaken in the company’s departments.",Unknown,Asesoría y servicios empresariales,201-500 empleados,2007,https://www.invensity.com,+49 611 504 754 0,https://www.linkedin.com/company/invensity/
484,Barcelona,Zoi,"Somos punteros en las industrias manufactureras y al por menor, y ayudamos a nuestros clientes a alcanzar el siguiente nivel digital.

Nuestras competencias en AWS Iot, DevOps, Well-Architected y SAP ponen de relieve nuestro alto grado de certificación y nuestra voluntad de siempre evolucionar. Desde Stuttgart y Barcelona, incluso más allà de Europa, al mundo. Disponemos de oficinas en Portugal, España, Rusia y Vietnam para proporcionar un servicio «25/8». En Zoi es la gente, formada por equipos internacionales, quien catapulta los proyectos de los clientes a nuevas eras digitales.

More now, more know-how, more wow. 

Así es Zoi.","AWS, GCP, Azure, Cloud, Code, IoT, Data, Transformation, Google Workspace, SAP y UX",Unknown,201-500 empleados,2017,http://zoi.tech,Unknown,https://www.linkedin.com/company/zoilinks/
485,Barcelona,Flowable,"Flowable is the intelligent business automation platform to automate end-to-end processes. From simple and repetitive, to complex and unpredictable scenarios – transform your business by connecting systems, data and people.  

Being open and low-code, Flowable enables organizations to build tailored applications at speed and at scale, optimizing resources and reducing time to value, while maintaining full regulatory compliance. 

Learn more about us www.flowable.com

Careers: www.flowable.com/company/careers
Imprint: www.flowable.com/imprint
Privacy Policy: www.flowable.com/privacy-policy","Case Management, Process Management, Decision Management, Document Management, Business process management, adaptives case management, eCM, eDiscovery, Flowable, low-code, hyperautomation, digital transformation, business process automation, BPMN, CMMN, DMN y workflow automation",Unknown,201-500 empleados,2010,https://www.flowable.com/,Unknown,https://www.linkedin.com/company/flowable-group/
486,Barcelona,Taleo Consulting,"Taleo is a global independent management and delivery advisory group.

With offices in Luxembourg, Paris, Brussels, Amsterdam, Geneva, Barcelona, Lisbon, and Singapore, we provide our customers with tailored and innovative solutions. From a strategic approach to the operational implementation of projects and systems, we constantly seek to create value.

What makes us special is the combination of a unique blend of industry expertise, top level consultants, best-in-class transformation skills and a unique working culture.

EXPERTISE

Our financial expertise combined with our specialization in risk management, compliance, governance, processes management and financial information systems allow us to deliver best practices as well as tailored and innovative solutions to our clients.

There are five pillars to our activities and interventions:
- Agile Governance & Project Management,
- Business & Operations,
- Processes & Change Management,
- Digital Transformation & Data Management,
- Finance, Risk & Compliance.

Taleo advises its customers with the best talents on the market. We select only highly-skilled professionals who become agile members of their organization and help our clients deliver more than the initial expectations.

VALUES

Our three values, Family, Fun and Excellence are at the core of our day-to-day activities and shape the way we interact with both our collaborators and our partners. We strive for excellence and we meet the target!

CSR

As a United Nations Global Compact company, we have committed to putting Human Rights, Labour, Environment and Anticorruption at the core of our strategies and operations. Taleo has been appointed Great Place to Work and is certified Ecovadis since 2020. We are involved with several NGOs that support women's rights, refugees, children, and sustainability.

JOBS

We are always on the lookout for talented people to enrich our culture and growing family. If you are a candidate, feel free to apply via our website!","Financial Consulting, Compliance, Financial Information Systems, Operational Excellence, Governance, Advisory, Project Management, Change Management y Risk Management",Unknown,201-500 empleados,2014,http://www.taleo-consulting.com,Unknown,https://www.linkedin.com/company/taleo-consulting/
487,Barcelona,Deliberry,"𝗙𝗥𝗘𝗦𝗛 𝗔𝗡𝗗 𝗤𝗨𝗔𝗟𝗜𝗧𝗬 𝗚𝗥𝗢𝗖𝗘𝗥𝗜𝗘𝗦 𝗗𝗘𝗟𝗜𝗩𝗘𝗥𝗘𝗗 𝗜𝗡 10 𝗠𝗜𝗡𝗨𝗧𝗘𝗦

·        Fresher: Carefully selected fresh products by our own trained pickers

·        Faster:  Seamless and personalized customer experience & instant delivery in 10 minutes

·        Better: +4.000 SKU fully optimized range, from high quality fresh products to loved brands and local favs 

𝗢𝗨𝗥 𝗣𝗨𝗥𝗣𝗢𝗦𝗘

To contribute to every household wellbeing by making it very easy to always stock their preferred and best quality foods regardless of their lifestyle.

𝗢𝗨𝗥 𝗩𝗜𝗦𝗜𝗢𝗡

To become the new standard for families’ food supply

𝗢𝗨𝗥 𝗠𝗜𝗦𝗦𝗜𝗢𝗡

To leverage the best technology and data science to bring producers and brands close to families so they can stock and consumer their preferred products and brands at home at the right time

𝗪𝗘 𝗔𝗥𝗘 𝗖𝗥𝗘𝗔𝗧𝗜𝗡𝗚 𝗔 𝗡𝗘𝗪 𝗪𝗔𝗬 𝗢𝗙 𝗚𝗥𝗢𝗖𝗘𝗥𝗬 𝗦𝗛𝗢𝗣𝗣𝗜𝗡𝗚","e-commerce, Gran Consumo, Logística, Entrega inmediata, Same day delivery, Grocery delivery, online, start-ups, alimentación, food, groceries, supermercado y digital",Unknown,51-200 empleados,2015,http://www.deliberry.com,,https://www.linkedin.com/company/deliberry/
488,Barcelona,Proficio,"Proficio is a world-class Managed Security Service Provider (MSSP) providing managed detection and response solutions, 24×7 security monitoring and advanced data breach prevention services to organizations globally. 

Our rapid growth is being fueled by the rise in cloud-based services, the acceptance of the Software-as-a-Service (SaaS) model, and the increasing number of cyber security attacks on businesses, hospitals and government. We have developed proprietary security content and threat intelligence tools to identify and proactively defend against advanced attacks and insider threats. Proficio’s founders are veterans of the security and networking industry who have helped guide multiple companies to successful exits.
 
Proficio’s customers benefit from the most advanced security monitoring and 24×7 managed security services that until recently were outside the budget of all but the very largest enterprises. Proficio’s ProSOC service offerings include the following:
 • 24×7 security event monitoring, alerting, and remediation
 • Advanced SIEM correlation analysis
 • Protection against complex attacks and insider threats
 • Actionable intelligence that enables internal IT teams to effectively and quickly resolve issues
 • Threat Intelligence 
 • Active Defense that blocks targeted attacks in real time 24×7
 • Worry-free compliance audits for: PCI, HIPAA, SOX, GLBA, FFIEC, NERC CIP, and FISMA regulations
 • Visibility to event logs with easy-to-use web portal, powerful reporting, dashboards, and drill-down analytics
 • Full management of security devices including patching, health and performance monitoring, and tuning
 • Free 12 month log retention
 • Out-of-the-box support for 400+ log sources
• Scalable cloud-based deployment – fast implementation and no software or hardware purchases
• Advanced scanning eliminating vulnerabilities before they can be exploited","Cloud-based Security, Risk, and Compliance, Managed Security Services, SIEM SaaS, Real-time Security Event Monitoring, Managed Firewall, Managed IPS, Managed WAF, Vulnerability Management y Web Application Scanning",Unknown,51-200 empleados,2010,http://www.proficio.com,Unknown,https://www.linkedin.com/company/proficio-inc-/
489,Barcelona,InfoTrust,"InfoTrust is a privacy-centric digital analytics solutions company that 
empowers marketers to make confident, data-driven decisions.

Working with many of the world’s best-known brands, InfoTrust partners with enterprise organizations in the CPG, retail, media, health, and finance spaces. We are a certified Google Marketing Platform Sales Partner and Google Cloud Partner, with offices spread across three continents to best serve our global partners. 

The growing team at InfoTrust is committed to building a best-in-class workplace and impacting communities around the world—all while accelerating the transition to privacy-centric marketing. ","Google Marketing Platform, Google Cloud, Google Analytics 4, GA4, Google Analytics 360, data science, data visualization, data governance, privacy audit, privacy, consumer privacy, GA360, tag management, digital analytics, Google Analytics, data privacy, data governance, BigQuery, Google Tag Manager y analytics",Unknown,51-200 empleados,2010,https://infotrust.com,Unknown,https://www.linkedin.com/company/infotrust-llc/
490,Barcelona,Impulse4Women,"Impulse4women is an international non-profit organization operating both online and offline. Our vision is to change the world of startup investment distribution based on gender diversity and also social impact led investment. We support, ignite, and connect startups with investors, corporations, and public or private organizations and set them up for success. 

We support at every stage of development providing the required tools and skills to increase the probability of funding, depending of their maturity, sector, allocation, economic needs. 

We want to foster investments in businesses that aim to create economic value in line with the creation of value for the society by addressing its needs and challenges hence promoting greater shared values and social responsibility from the beginning of a company.
We will do that through networking and knowledge sharing events, inspiration by role models and through a web platform to connect a and promote investment in startups with greater gender diversity and shared values.

We believe that gender diversity will lead to superior investment performance. Many studies have established a correlation between gender diversity in senior teams and higher returns on equity in corporations, investment firms and startups. We want to see this happening so ubiquitously that fostering gender diversity ceases to be a necessity.",Unknown,Unknown,2-10 empleados,Unknown,https://www.impulse4women.org,,https://www.linkedin.com/company/impulse4women/
491,Barcelona,AG SOLUTION GROUP,"AG Solution offers its engineering expertise in the world of automation. 

We provide general and entire overview of control & monitoring data from automation (PLC) layer and process control (SCADA) to data management and real-time event using OSISoft PI 

From the physical and PLC, layers, over SCADA and DCS, integrating signals, communications, field buses, industrial networks, up to the MOM/ MES layer, thus connecting the factory to the ERP system.

We apply our automation model for projects of new plants, expansions of facilities, as well as for technological migrations, version updating and reverse engineering.","AUTOMATION, PROCESS, PLC, SCADA, DCS, BATCH, MES, IT, OSISOFT PI, MOM, AUDIT, ENGINEERING y Industry 4.0",Unknown,51-200 empleados,2007,http://www.agsolutiongroup.com,Unknown,https://www.linkedin.com/company/agsolutiongroup/
492,Barcelona,Enerbrain,"Founded in 2015 within the Innovative Enterprises business incubator of the Politecnico di Torino, Enerbrain has developed energy retrofit solutions for large buildings that allow drastic cuts in consumption as well as a significant improvement in internal comfort. Thanks to innovative IoT hardware and powerful algorithms in the cloud to fine-tune energy usage in real time Enerbrain allows operational savings. The main focus goes beyond energy by providing the best indoor air quality and educating occupants in order to generate a wider social impact thanks to engagement tools and a new way to access data across devices.

Compatible with all HVAC systems, Enerbrain system provides the application of plug & play sensors in the building and a device to act to regulate in real time ventilation, heating and cooling based on the reference parameters: outdoor and indoor temperature, relative humidity, CO2 and occupants in the building connected with powerful algorithms.
A smart innovation, which quickly affects the energy management of a building without changes to the existing systems or without drastic structural changes. In most cases it takes two days of installation to cut energy consumption by 30% forever, improving the indoor air quality and the thermal comfort.
The system integrates a unified management through an analytical dashboard, also accessible through an app.
A win-win model for energy efficiency that is rewarded trough the savings in bills and takes on a strategic value for the enhancement of real estate assets.",Unknown,Servicios de TI y consultoría de TI,11-50 empleados,2015,http://www.enerbrain.com,+39 011 0438872,https://www.linkedin.com/company/enerbrain/
493,Barcelona,ACS Informáticos | Talento IT para empresas TIC,"Somos ACS Informáticos,  Aplicaciones, Comunicaciones y Servicios Informáticos, S.L. y nacimos hace más de 20 años, en 1995 en Barcelona. 

Llevamos más de veinte años atrayendo al mejor talento, para acercarlo a las empresas más prestigiosas del sector, y a los proyectos más punteros y competitivos del mercado IT. Somos una empresa de Recursos Humanos, que tenemos como objetivo acercar la distancia entre el talento IT y las empresas TIC. 

Ofrecemos soluciones integrales a las empresas para acercar los mejores profesionales, a las empresas más prestigiosas, y a los proyectos más punteros y competitivos del mercado IT. Trabajamos en el diseño de la estrategia, implantación, soporte y mantenimiento de proyectos IT en empresas TIC. 

Selection of IT profiles
Technological Outsourcing
Specialized training
IT Services Consulting
Data Protection Services

ACS Talent People. 

Reclutamiento, Formación & Desarrollo del talento tecnológico. 

ACS Systems Xpert

Soluciones “llave en mano” 

ACS Law Solutions

Soluciones tecnológicas para el mercado legal (notarios, registradores, abogados y gestores)


Entre nuestros clientes destacan importantes empresas líderes en tecnologías de la información y la comunicación (TIC) como INDRA, FUJITSU, 112, CTTI, AGENCIA ESPACIAL EUROPEA, SEAT , TMB, …. etc. 
Desde ACS Informáticos estamos homologados por Indra e IECISA para realizar proyectos IT de gran envergadura. 

Contacto: http://www.acsinformaticos.com/
info@acsinformaticos.com","Selección de Personal, Servicios informáticos, Outsourcing y Perfiles TIC",Unknown,51-200 empleados,1995,https://acsinformaticos.com/,,https://www.linkedin.com/company/acsinformaticos/
494,Barcelona,TRE ALTAMIRA,"TRE ALTAMIRA is the largest InSAR group worldwide. With over 20 years’ experience, it is globally recognised as the world leader in millimetre-precision ground displacement measurements from satellite radar data, that are used in a variety of sectors, including oil & gas, mining, civil engineering and geohazards monitoring.
 
TRE ALTAMIRA brings together a multidisciplinary team with excellent knowledge of SAR and InSAR applications in different industries, that is the key to its success and growth in both commercial and publicly funded projects.
 
We work together with our clients worldwide, guaranteeing a detailed and personalised approach for each client’s needs. Over the years our expertise has grown to include small to multinational companies as well as governmental institutions.
 
TRE ALTAMIRA is a CLS Group company with main offices in Milano (Italy), Barcelona (Spain) and Vancouver (Canada).",Unknown,Unknown,51-200 empleados,Unknown,https://site.tre-altamira.com,Unknown,https://www.linkedin.com/company/tre-altamira/
495,Barcelona,Quentic,"Product
Over 900 customers strengthen their EHSQ and ESG management with Quentic software solutions. With ten individually combinable modules, our online platform includes Health & Safety, Risks & Audits, Incidents & Observations, Hazardous Chemicals, Control of Work, Legal Compliance, Online Instructions, Processes, Environmental Management and Sustainability. It is officially confirmed that Quentic is designed to support management systems according to ISO 14001, ISO 50001, and ISO 45001. Our web-based solution unifies data, connects all EHSQ and ESG stakeholders in a single system, and drives customers’ success – via browser or app. As tasks interlock across departments, locations, and even countries, Quentic enables businesses to efficiently control their processes according to legal requirements. 

Company
We are one of the leading solution providers of Software as a Service in the European EHSQ and ESG market. Our mission is to connect, engage, and inspire all EHSQ and sustainability stakeholders. We are headquartered in Berlin, Germany, and employ more than 250 people. Subsidiaries are located in eleven European countries.

Culture 
Our corporate culture is full of enthusiasm. We’re proud to do work that makes meaningful contributions to people, society, and the environment. We bring clarity to complex issues and guide our customers through increasingly stringent legal requirements. We are only satisfied when our customers can optimize their EHSQ and ESG management in the best possible way. Find out more about our mission statement: www.quentic.com/company/mission-statement",Unknown,Unknown,201-500 empleados,Unknown,http://www.quentic.com/imprint,Unknown,https://www.linkedin.com/company/quentic-group/
496,Barcelona,Dinbeaters,"Dinbeat une tecnología y pasión por los animales. 
Hemos desarrollado Dinbeat UNO, un dispositivo de uso veterinario que monitoriza en tiempo real y sin cables la salud de animales no sedados, algo imposible hasta la fecha. Además, envía alertas y notificaciones al profesional cuando detecta que hay algún problema con el paciente.
El dispositivo recoge, envía y almacena información sobre: 

Electrocardiograma, frecuencia cardiaca, temperatura, respiración por minuto y parámetros relacionados con la actividad, la posición y la vocalización.

¡Y este es solo el principio!","Wearables para mascotas, Productos para mascotas, Innovación y Pet Technology",Servicios inalámbricos,11-50 empleados,2016,http://www.dinbeat.com,636 883 660,https://www.linkedin.com/company/dinbeaters/
497,Barcelona,Kochava,"Kochava’s Marketers Operating System empowers advertisers and publishers with a platform to help growth marketers.
 
Kochava delivers what marketers need, when they need it, to establish customer identity and segment and activate audiences in a privacy-first world, leveraging data from the Kochava Collective for audience enrichment.","Mobile Advertising Solutions, Mobile Tracking, Analytics, Mobile Gamification, Attribution for Connected Devices, Monetization, Mobile App Tracking y App Analytics",Unknown,51-200 empleados,2011,https://www.kochava.com,Unknown,https://www.linkedin.com/company/kochava/
498,Barcelona,isolutions AG,"Una evolución digital eficaz es la clave para tener éxito en todos los sectores. Más de 120 expertos en Berna, Zúrich, Basilea y Barcelona crearán la mejor experiencia digital y cultural para los empleados y clientes de su empresa para que puedan desarrollar su potencial. 

isolutions ofrece soluciones digitales que se ajustan a las necesidades de su empresa. Nosotros refinamos los estándares tecnológicos Office 365 y Dynamics 365 y los complementamos con aplicaciones empresariales a medida basadas en Azure, C# y .NET. Además, les ofrecemos las tecnologías del futuro: el IoT, los servicios cognitivos (inteligencia artificial), los bots y el Big data.",Unknown,Servicios de TI y consultoría de TI,201-500 empleados,1999,http://www.isolutions.ch,0315608888,https://www.linkedin.com/company/isolutions-ag/
499,Barcelona,Intent HQ | FT1000 fastest growing European business,"Intent HQ is a privacy-first Customer Intelligence Platform created for Service Providers and their user data. Enabling 1-to-1 personalisation at scale, we create the deepest human understanding of a customer from data made actionable and valuable. 

Activating user data in a privacy-safe way, we turn user actions into interest and intent data. Our clients benefit from improvements in segmentation, targeting, open and conversion rates, customer experience, customer satisfaction and loyalty.",Unknown,Unknown,51-200 empleados,Unknown,http://www.intenthq.com,Unknown,https://www.linkedin.com/company/intenthq/
500,Barcelona,Saphetor,"Saphetor SA, is a global precision-medicine company dedicated to large-scale identification and interpretation of human genetic variants by leveraging proprietary algorithms and expert domain knowledge.

Saphetor is the creator of VarSome, a suite of intuitive and data-driven bioinformatics solutions for clinicians and researchers. VarSome is powered by a Molecular DB with over 130 integrated and harmonized genomic data sources, linked by AI to over 32 million publications. Thanks to VarSome’s global community of over 450 000, the database is further enriched by additional unique user-generated annotation. Saphetor has developed proprietary algorithms to automate variant classification based on industry-standard ACMG and AMP guidelines for interpretation of germline and somatic variants, as well as CNVs. 

The VarSome suite offers solutions for individuals needing a powerful Search tool to support research, professional labs requiring a CE-IVD and HIPPA-compliant platform to Analyze NGS samples, and bioinformaticians wanting to use our simple API to access our database and classifiers and integrate into existing Code. ",Unknown,Unknown,51-200 empleados,Unknown,http://saphetor.com,Unknown,https://www.linkedin.com/company/saphetor/
501,Barcelona,Flanks,"Flanks is a Wealth Tech B2B service platform which digitally optimizes your operational efficiency by automating and scaling connections with custodian entities. Created by co-founders Joaquim de la Cruz, Sergi Lao and Álvaro Morales, the firm has come a long way since its beginnings in 2018. 

Using Flanks as a wealth data orchestrator allows financial advisors to connect to any global entity in an automatic way. And therefore, help them aggregate their client’s wealth. By using Flanks’ solution, they get a global position of their client’s operations across all entities, making financial information sharing secure, easy and quick.

In the interconnected world we live in, it is common for clients to have investments, savings and other financial products in different custodian entities. To break this data obstacle, the market offers different solutions to aggregate investment data. Flanks’ scraping technology however, allows to connect to any new custodian entity without having to interact to leverage the consent and credentials. The methodology Flanks uses, known as  “Reverse engineering”, plugs you directly into the core banking of custodian entities. That doesn’t only make the connection more robust, more secure and richer in data (in terms of position and operation of investment products), but is also faster. All of the without suffering possible changes of user interfaces.","Fintech, BaaS, Data Aggregation, Open Banking, Financial Services, API Banking, Big Data, Data Analytics y Reporting",Unknown,11-50 empleados,2018,https://flanks.io/,,https://www.linkedin.com/company/flanks-io/
502,Barcelona,Aizon,"Aizon is an AI software provider that transforms manufacturing operations with the use of advanced analytics, artificial intelligence, and other smart factory technologies focused on optimizing production within highly regulated industries. The Aizon AI platform seamlessly integrates unlimited sources of structured and unstructured data to deliver actionable insights across all manufacturing sites. Aizon offers an intuitive way to gain meaningful operational intelligence by enabling real-time visibility and predictive insights in a GxP compliant manner with end-to-end data integrity.

Aizon offices are located in San Francisco, California, and Barcelona, Spain. Aizon customers and partners span the globe.",Unknown,Servicios de TI y consultoría de TI,51-200 empleados,2013,https://www.aizon.ai/,628-243-2513,https://www.linkedin.com/company/aizon/
503,Barcelona,Platinium Group SAM,"Platinium Group S.A.M. is an international company based in Monaco and founded in 1985 on the credence that business intelligence should be built around customer experience. 

Playing a significant part in the e-commerce industry over the last 10 years, the company specialises in ticketing technology, ticketing brokerage and luxury travel. Our tickets are sold worldwide and we provide one of the most powerful box office software and ticketing system in the industry. Praised as ground-breaking, our technology is used by some of the biggest brands of the Sports Industry and our solutions are recognised on a global scale.

Striving constantly for evolution and pushing-back the boundaries, our approach to accessing, managing and interacting with data is the key to our customers´ success. This success is built on an unbroken customer-centric approach and passion for simplicity, easy of use and effectiveness, which are our trademark since the company’s establishment.","Ticketing Technology, Marketing Services, CRM, On-site management, Events, Formula 1, Motorsport, Monaco Grand Prix, Technology, Digital Marketing, PPC, Event Marketing, Ticketing, Ticketing Logistics, E-commerce y Hospitality",Unknown,51-200 empleados,1985,http://www.pg-mc.com/,Unknown,https://www.linkedin.com/company/platinium-group-sam/
504,Barcelona,Thevaluefactory SL,"Thevaluefactory (TVF) is a digital marketing agency experienced and focused on traffic management and affiliation marketing.

Founded in 2013, TVF is a value-based marketing company, customer-driven oriented. TVF has become more and more of a solid source of efficient email marketing services, a must for you to retain your existing customers and bring them back to your website if you are launching a new product, offering a seasonal discount or clearance sale.

It is the best medium for new customer acquisition and building a sizable customer base. 


What we do:

DATABASE BUILDING, MANAGEMENT & MONETIZATION
Database construction from scratch, customized tools and channels to create your own traffic. Thanks to our commercial agreements, top quality offers and an accurate team of traffic management specialists, we will take care of your data maximizing your revenue.

CO-REGISTRATION, AFFILIATION & SOCIAL MEDIA MARKETING
We embed your high-profile offer into lead generation projects. We are able to promote your offer, manage or create your lead generation projects, and increase your business range. 

WEB DEVELOPMENT & SEO
360º web development: from website’s logo to its online positioning, guaranteeing tailored audits and shaped results.

Contacts:

Thevaluefactory SL
Avinguda Francésc Cambó 21, 5º piso 
08003 Barcelona (Spain) Tel: + 34 9 32.52.64.17 
E-mail: contact@thevaluefactory.es","Email marketing, Consulting, Lead Generation, Database Monetization, Affiliate marketing , Media Buying , Online marketing , DEM, List Management , Affiliate Network, SEO, Web development y Social Media Managing",Unknown,11-50 empleados,2013,https://thevaluefactory.es/,,https://www.linkedin.com/company/thevaluefactory/
505,Barcelona,Technology Delivery Center Barcelona - ServiZurich,"ServiZurich, as part of the Zurich Insurance Group, is a high technological IT and Operations center established since 2006 in Barcelona. We are a strategic IT partner for different Zurich Local and Global Business Units across the group offering a variety of IT Services and Operations. We support them in the process of achieving their business goals by delivering high quality and innovative solutions for IT and Operations .","IT services, Insurance, Insurtech y Big Data",Unknown,201-500 empleados,2006,http://www.servizurich.com,,https://www.linkedin.com/company/servizurich/
506,Barcelona,CoRegistros S.L.U.,"No somos cualquier agencia de marketing online, somos  una agencia comprometida con el crecimiento de tu negocio. Nuestra misión es conectarte con tus potenciales clientes, porque están ahí fuera, esperando tus mensajes y ofertas, y allí es donde entramos nosotros.

Somos pioneros en el sector de bases de datos en España, con más de 6 millones de registros generados y campañas en más de 30 países. Queremos hacer crecer tu negocio, tan sencillo como eso. Te ayudamos a generar la base de datos que necesitas o te alquilamos una para acciones puntuales de telemarketing, emailing o SMS, adaptándonos siempre a las características de tu negocio.

Nuestro equipo está integrado por profesionales jóvenes y motivados que siempre trabajan en estrecha relación con cada cliente. Su objetivo es optimizar el ROI de todas las campañas y además, les encanta recibir tu feedback y darte el suyo.

¿Buscas más información? No dudes en ponerte en contacto con nosotros: info@coregistros.com 

Realizamos diferentes tipologías de campañas online, como co-sponsoring, coregistros, alquiler de base de datos o email marketing, entre otros.

Además, somos una agencia de performance marketing: nos preocupamos del retorno de la inversión del anunciante y sólo se paga por registro entregado (coste por lead)

¡Cuéntanos!

Si deseas más información, puedes escribirnos a: info@coregistros.com",Unknown,Servicios de publicidad,11-50 empleados,2009,https://www.coregistros.com,936112173,https://www.linkedin.com/company/coregistros-s-l-/
507,Barcelona,Vispera,"Vispera provides cutting-edge image recognition-based solutions for CPG/Retailers that accurately collects, measures & analyzes what is happening on shelves in real-time. Our best-in-class Retail Execution Solutions & Services radically improve store operations with an increase in revenue & customer satisfaction while reducing costs.

At Vispera, our vision is to focus on making image recognition (IR) the standard for in-store, automated data collection. Our fundamental goal is to have our image recognition-based data analytics services and platform become the 'must-have' store level execution tools for both retailer and supplier companies worldwide.

Using Fortune 500 customer feedback, the Vispera team continuously improves our patented, in-store execution technology so that any sized, retail-based image can be recognized and acted on - instantly. Experience the Vispera difference and boost category sales to new levels.

Drive Your Retail Execution to Perfection!
- Transform conventional methods to automatized methods 
- Ensure planogram compliance with AI-based image recognition technology
- Increase revenue with instant Out-of-stock actions and maximize shelf visibility
- Quickly identify shelf opportunities and seize incremental sales growth
- Increase operational efficiency and decrease labor cost 
- Win at every store with visual intelligence solutions","computer vision, machine learning, image recognition, retail execution and auditing, R&D, retail, visual analytics, retail analytics, Artificial intelligence, data insights y shelf intelligence",Unknown,51-200 empleados,2014,http://vispera.co,Unknown,https://www.linkedin.com/company/vispera-information-technologies/
508,Barcelona,Candam,"Candam S.L. provides technology for the Circular Economy. Based in Barcelona, we strive for improving Sustainability and Smart Cities.
We lead innovation in the Waste Management sector by designing and distributing European patented hardware and software tools for Rewarding, Deposit Refund and Reusable Packaging schemes.",Unknown,Fabricación de semiconductores de energías renovables,11-50 empleados,2017,www.candam.eu,00 +34 654 869 903,https://www.linkedin.com/company/candam/
509,Barcelona,CoolPlanet,"CoolPlanet is a global leader in industrial-scale decarbonisation. We combine technology and world-leading engineering expertise to help complex organisations reach Net Zero faster, at scale.

Our Decarbonisation Management System is trusted by the world’s biggest brands for the last 15 years: Takeda, MSD, Hilton Food Group, Viterra, Glanbia, Vodafone, Bulmers, GE Healthcare, OI and more.

CoolPlanet transforms the complex challenge of large-scale decarbonisation into a significant commercial opportunity, repositioning it as an investment rather than a cost. We make organisations more competitive on a global scale by reducing OpEx, increasing operational efficiency and delivering consistency of energy supply – all with minimal disruption. We are a trusted and insightful voice in the decarbonisation conversation, with a deep understanding of how to deliver both established and emerging solutions.
 
Our mission is to significantly reduce the carbon emitted by ind
CoolPlanet is an engineering services company underpinned by a powerful software platform – Clarity™ – that specialises in helping manufacturing companies and commercial buildings achieve net zero carbon. We help you implement and maintain an optimisation strategy, improving production processes and ensuring improved efficiency of site equipment, while saving you time, energy and money. We have helped companies reduce their energy bills by 30% while improving their product quality at the same time. 

Clarity’s benefits include increased efficiency, visibility of data, improved reliability/uptime, reduced energy spend, lower carbon footprint, better throughput, optimised processes, liberation of time/KPI reporting and reduced resource spend. We work across many different areas such as brewing, manufacturing, edible oils, glass container production, meat processing, pharmaceuticals, commercial buildings, and automotive. From PepsiCo to Johnson & Johnson, Intel to MSD, we’re trusted by world’s leading companies.",Unknown,Servicios medioambientales,51-200 empleados,2008,https://www.coolplanet.io/,012748880,https://www.linkedin.com/company/coolplanetio/
510,Barcelona,Riverflex,"Riverflex es una consultoría que trabaja codo con codo con las empresas para hacer frente a los retos del mundo digital. Operando en un ecosistema abierto de socios y consultores independientes, estamos creando el modelo de consultoría abierta del futuro.

Trabajamos con equipos reducidos de expertos independientes y socios en modelos de colaboración flexibles. Utilizamos herramientas digitales y métodos modernos para ser más rápidos y efectivos en la entrega de resultados. Trabajamos diferente para trabajar mejor. 

Mejor asesoramiento por nuestra parte, mejores estilos de vida para nuestros consultores, mejores resultados para nuestros clientes.","Digital Strategy, Digital Transfomation, Innovation, Technology Strategy, Customer Experience, Service Design, Operating Model Design, People and Cultural Change, Organisation Design, Architecture, Artificial Intelligence, Big Data, Development Excellence (QA, DevOps, CI/CD), Engineering, Customer Strategy, Marketing Strategy, Agile Transformation, Visual Design, UX, Process Improvement y Channel Strategy",Unknown,11-50 empleados,2018,https://www.riverflex.com,Unknown,https://www.linkedin.com/company/riverflex/
